< MULTI_LINE_COMMENT, 509 >
< MULTI_LINE_COMMENT, 510 >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, member2 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, long >
< KEYWORD, 500, int >
< IDENTIFIER, 501, roll1 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, roll2 >
< PUNCTUATOR, 506, ; >
< PUNCTUATOR, 506, } >
< IDENTIFIER, 501, Compilers_grp >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, extern >
< KEYWORD, 500, char >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, yytext >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, inline >
< KEYWORD, 500, int >
< IDENTIFIER, 501, cube >
< PUNCTUATOR, 506, ( >
< KEYWORD, 500, int >
< IDENTIFIER, 501, s >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, { >
< KEYWORD, 500, return >
< IDENTIFIER, 501, s >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, s >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, s >
< PUNCTUATOR, 506, ; >
< PUNCTUATOR, 506, } >
< KEYWORD, 500, void >
< IDENTIFIER, 501, main >
< PUNCTUATOR, 506, ( >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, { >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, _Bool >
< IDENTIFIER, 501, flag >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, double >
< KEYWORD, 500, _Complex >
< IDENTIFIER, 501, complex_1 >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 1.45 >
< PUNCTUATOR, 506, + >
< FLOAT_CONSTANT, 503, 2.67 >
< IDENTIFIER, 501, i >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, unsigned >
< KEYWORD, 500, long >
< IDENTIFIER, 501, month_no >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 12 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, enum >
< IDENTIFIER, 501, Year >
< IDENTIFIER, 501, _month >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, for >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, _month >
< PUNCTUATOR, 506, = >
< IDENTIFIER, 501, Jan >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, _month >
< PUNCTUATOR, 506, <= >
< IDENTIFIER, 501, Dec >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, _month >
< PUNCTUATOR, 506, ++ >
< PUNCTUATOR, 506, ) >
< IDENTIFIER, 501, printf >
< PUNCTUATOR, 506, ( >
< STRING_LITERAL, 505, "%d " >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _month >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, Compilers_grp >
< IDENTIFIER, 501, our_group >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, { >
< STRING_LITERAL, 505, "Pranav" >
< PUNCTUATOR, 506, , >
< STRING_LITERAL, 505, "Shreyas" >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 30037 >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 30049 >
< PUNCTUATOR, 506, } >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, Compilers_grp >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, our_ptr >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, & >
< IDENTIFIER, 501, our_group >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, int >
< IDENTIFIER, 501, _a_1_A >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 8765678 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, short >
< KEYWORD, 500, int >
< IDENTIFIER, 501, _b_1_B >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 10 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, long >
< KEYWORD, 500, long >
< KEYWORD, 500, signed >
< KEYWORD, 500, int >
< IDENTIFIER, 501, _c_1_C >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 12345654321 >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, float >
< IDENTIFIER, 501, F1_ >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 37. >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, F2_ >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 49.E+5 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, F3_ >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, - >
< FLOAT_CONSTANT, 503, 37.49e-3 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, F4_ >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, .47E2 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, F5_ >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 0.232e-3 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, F6_ >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 34E-2 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, double >
< IDENTIFIER, 501, _huge >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 3.4e+307 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _tiny >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 1.7e-308 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _d1 >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, .00 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, const >
< KEYWORD, 500, double >
< IDENTIFIER, 501, pi >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 3.14159 >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, char >
< IDENTIFIER, 501, _1_c >
< PUNCTUATOR, 506, = >
< CHARACTER_CONSTANT, 504, '@' >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _2_c >
< PUNCTUATOR, 506, = >
< CHARACTER_CONSTANT, 504, '\?' >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _3_c >
< PUNCTUATOR, 506, = >
< CHARACTER_CONSTANT, 504, '\n' >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _4_c >
< PUNCTUATOR, 506, = >
< CHARACTER_CONSTANT, 504, '\v' >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, _5_c >
< PUNCTUATOR, 506, = >
< CHARACTER_CONSTANT, 504, 'P' >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, const >
< KEYWORD, 500, char >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, str1 >
< PUNCTUATOR, 506, = >
< STRING_LITERAL, 505, "Even if we use // in a string literal, it is not treated as beginning of a single-line comment, as it is enclosed in double quotes\n" >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, const >
< KEYWORD, 500, char >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, str2 >
< PUNCTUATOR, 506, = >
< STRING_LITERAL, 505, " The same holds for a /* multi-line comment */ like this." >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, char >
< IDENTIFIER, 501, s2 >
< PUNCTUATOR, 506, [ >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, = >
< STRING_LITERAL, 505, "" >
< PUNCTUATOR, 506, ; >
< MULTI_LINE_COMMENT, 509 >
< MULTI_LINE_COMMENT, 510 >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, int >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 5 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, { >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 2 >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 3 >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 4 >
< PUNCTUATOR, 506, , >
< INTEGER_CONSTANT, 502, 5 >
< PUNCTUATOR, 506, } >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, int >
< IDENTIFIER, 501, temp >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 0 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ++ >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, + >
< PUNCTUATOR, 506, ( >
< PUNCTUATOR, 506, ++ >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, + >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 2 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, -- >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, + >
< PUNCTUATOR, 506, ( >
< PUNCTUATOR, 506, -- >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 3 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, printf >
< PUNCTUATOR, 506, ( >
< STRING_LITERAL, 505, "Team member 1: %s, Team member 2: %s\n" >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, our_ptr >
< PUNCTUATOR, 506, -> >
< IDENTIFIER, 501, member1 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, our_group >
< PUNCTUATOR, 506, . >
< IDENTIFIER, 501, member2 >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< KEYWORD, 500, int >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 37 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 49 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, while >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, flag >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, { >
< KEYWORD, 500, if >
< PUNCTUATOR, 506, ( >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, < >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, && >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, == >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 3 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, && >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 2 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, != >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 4 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, || >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, >= >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 0 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ) >
< KEYWORD, 500, break >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, else >
< KEYWORD, 500, continue >
< PUNCTUATOR, 506, ; >
< PUNCTUATOR, 506, } >
< IDENTIFIER, 501, temp >
< PUNCTUATOR, 506, += >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 0 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, - >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 2 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, / >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 3 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, % >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 4 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, *= >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, /= >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, temp >
< PUNCTUATOR, 506, %= >
< IDENTIFIER, 501, arr >
< PUNCTUATOR, 506, [ >
< INTEGER_CONSTANT, 502, 0 >
< PUNCTUATOR, 506, ] >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, temp >
< PUNCTUATOR, 506, = >
< PUNCTUATOR, 506, ( >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, > >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, ) >
< PUNCTUATOR, 506, ? >
< IDENTIFIER, 501, num1 >
< PUNCTUATOR, 506, : >
< IDENTIFIER, 501, num2 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, int >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 1111 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 1010 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, bit3 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, &= >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, bit3 >
< PUNCTUATOR, 506, = >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, | >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, ^= >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, <<= >
< INTEGER_CONSTANT, 502, 3 >
< PUNCTUATOR, 506, ; >
< IDENTIFIER, 501, bit3 >
< PUNCTUATOR, 506, = >
< IDENTIFIER, 501, bit1 >
< PUNCTUATOR, 506, ^ >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, ; >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< MULTI_LINE_COMMENT, 509 >
< MULTI_LINE_COMMENT, 510 >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< IDENTIFIER, 501, bit2 >
< PUNCTUATOR, 506, = >
< IDENTIFIER, 501, bit3 >
< PUNCTUATOR, 506, >> >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, ; >
< MULTI_LINE_COMMENT, 509 >
< MULTI_LINE_COMMENT, 510 >
< KEYWORD, 500, return >
< INTEGER_CONSTANT, 502, 0 >
< PUNCTUATOR, 506, ; >
< PUNCTUATOR, 506, } >
